Phylum,R1,R1,R1,R1,R2,R2,R2,R2,S,S,S,S
Firmicutes,0.005385478,0.000499588,0.000268787,0.000552629,0.013718184,0.0003472,0.001068237,0.001779197,0.000221893,0.000575214,0.000293201,0.000126474
Proteobacteria,0.007123906,0.00011231,0.000105505,0.006677178,0.00012733,0.000539765,0.008529072,0.001355579,7.39642E-05,0.000552205,0.000195467,0.000188305
Proteobacteria,0.00069294,0.016912394,0.000221059,0.003503364,0.000402096,0.000501835,0.000365892,0.001029718,0.000123274,0.000165662,0.000147921,0.000196737
Firmicutes,0.005276067,0.003872772,0.0006054,0.001399318,0.002707448,0.000732329,0.001976659,0.000651721,0.000563537,0.000352031,0.001289027,0.000930285
Firmicutes,0.001863035,0.000731954,0.004225239,0.008700105,0.000609846,0.000516423,0.00301125,0.001603233,0.000214848,0.000156458,0.000256221,0.000112421
Proteobacteria,0.005576948,0.00066999,0.000238643,0.007919326,0.000244609,0.0003472,0.004950058,0.000514859,0.000186672,0.000167962,0.000137355,0.000154579
Actinobacteria,0.003625776,0.005793666,0.000964621,0.001206658,0.001011942,0.001298353,0.002287877,0.001811783,0.000560015,0.000186369,0.000245655,0.000219221
Bacteroidetes,0.001562153,0.000154911,7.03369E-05,0.00011154,0.010752724,8.75294E-05,0.00080328,0.00032586,0.000271202,0.001543874,3.69803E-05,0.000719495
Proteobacteria,0.000401176,0.00815993,0.002464304,0.000405599,0.003582008,0.000280094,0.000428977,0.000299791,0.000154973,0.000239289,0.000216599,0.000233274
Firmicutes,0.00034647,0.000329186,0.000158258,0.021319313,0.000261363,0.000207153,0.000256545,0.000208551,0.000126796,9.66359E-05,0.000113582,0.000132095
Proteobacteria,0.004981263,0.000178147,0.000248691,0.000319409,0.003122948,0.000210071,0.000252339,0.009638947,0.000130318,0.00016106,0.000124148,0.000376611
Firmicutes,0.000364705,0.008206403,0.000226083,0.000522209,0.002660537,0.000300518,0.00428977,0.000417101,9.8619E-05,0.000103538,0.000137355,0.000137716
Firmicutes,0.000468038,0.000538315,0.00028386,0.014317655,0.000395395,0.000312188,0.0004458,0.000351929,8.45306E-05,4.14154E-05,0.000818849,0.001059569
Bacteroidetes,0.004574009,0.000240112,0.000130626,0.000344759,0.001011942,0.000105035,0.001202818,0.010421011,5.98758E-05,0.000326721,4.75461E-05,0.000702632
Firmicutes,0.000285686,0.000263348,0.005410918,0.003645324,0.000278117,0.000201318,0.001787404,0.00028024,0,0.000253094,0,7.02632E-05
Actinobacteria,4.55881E-05,0.000255603,0.000175842,0.000552629,0.010565079,0.000192565,0.000218694,0.000188999,0.000102141,0.000112742,7.92435E-05,9.5558E-05
Firmicutes,0.003683521,0.000379532,0.000248691,0.00556685,0.00025131,0.000285929,0.002472926,0.000332377,0.000623413,8.97334E-05,0.000274711,0.00010399
Actinobacteria,0.002291563,0.000476351,0.000291396,0.010352922,0.00020775,0.000230494,0.000344864,0.000319343,0.000123274,0.000508489,0.000124148,9.5558E-05
Bacteroidetes,0.00026745,0.00020913,0.000100481,0.00027885,0.000271415,0.000140047,0.004209862,0.010649114,5.28316E-05,6.67248E-05,0.000676211,0.000466548
Firmicutes,0.007227239,0.000189766,0.000130626,0.00027378,0.000757281,0.000183812,0.000235517,0.000228102,0.000105663,0.000993969,8.18849E-05,7.02632E-05
Proteobacteria,0.006048026,0.000154911,0.000319028,0.00012675,0.000294871,0.000341365,0.000155609,0.000175965,0.0003346,0.000340527,0.000256221,0.001160748
Firmicutes,5.16666E-05,0.000352422,0.000145698,0.000532349,0.008822662,0.000201318,0.000340658,0.000241137,3.1699E-05,7.13265E-05,6.86777E-05,7.86948E-05
Proteobacteria,0.002604602,0.000100692,0.004305624,0.00014703,0.000140734,0.000113788,0.000151404,0.000215068,0.000102141,0.000312916,7.92435E-05,9.83685E-05
Proteobacteria,0.000325195,0.000681608,6.78249E-05,0.000618539,0.000201048,0.000256753,0.000227105,0.014416058,4.57874E-05,8.51316E-05,7.13191E-05,7.58843E-05
Proteobacteria,0.006816945,0.000468605,9.79693E-05,0.000628679,5.0262E-05,0.000280094,0.00029019,0.000358446,9.15748E-05,8.05299E-05,7.6602E-05,8.43158E-05
Proteobacteria,0.004428127,0.000166529,0.000311492,8.61899E-05,0,0.002264094,0.000180843,0.000123827,0.00013384,0.000121945,0.000137355,0.000112421
Actinobacteria,0.005880869,0.000348549,0.000188402,0.000562769,0.000268064,0.000221741,0.00031963,0.000312826,8.80527E-05,6.90257E-05,7.13191E-05,8.15053E-05
Actinobacteria,0.000364705,0.000395023,0.000118066,0.000344759,0.000194347,0.000166306,0.000252339,0.013014859,4.93095E-05,6.21231E-05,5.2829E-05,8.43158E-05
Chlamydiae,4.86273E-05,5.80916E-05,8.54091E-05,0.011878989,0.000100524,9.33647E-05,5.88792E-05,9.12409E-05,5.98758E-05,8.74325E-05,4.49046E-05,5.90211E-05
Proteobacteria,0.00038598,0.000398895,0.000150722,0.003792353,0.000231205,0.003364046,0.000197666,0.000338895,0.000412086,9.20342E-05,8.18849E-05,9.27474E-05
Proteobacteria,9.42155E-05,0.000484096,0.00014821,0.000613469,0.005478562,0.000142965,0.000210283,0.000293274,6.33979E-05,0.000526896,7.39606E-05,7.58843E-05
Proteobacteria,0.005485772,0.000402768,0.00012309,0.000542489,0,0.000224659,0.000298602,0.000391032,6.692E-05,8.28308E-05,6.07533E-05,6.74527E-05
Proteobacteria,0.000130686,0.000123929,0.000163282,0.00013182,0.000180943,7.87765E-05,0.000147198,0.012884515,0,9.20342E-05,5.54704E-05,8.15053E-05
Proteobacteria,0.000200588,0.006661167,0.000246179,0.00021801,0.000184294,0.000227576,0.000214488,0.000215068,9.8619E-05,0.000110441,0.000100375,0.000148958
Proteobacteria,0,1.54911E-05,7.5361E-06,1.014E-05,6.7016E-06,0.004344376,0.000508884,0.000351929,0.001359533,0.000289908,0.000139997,0.000196737
Proteobacteria,0.002799111,0.000193639,0.000386853,0.00018759,0.000187645,0.000385129,0.001884134,0.000221585,0.000440263,0.000508489,0.000158487,0.000179874
Proteobacteria,0.000607842,0.000867501,0.000205987,0.000993718,0.000438955,0.000315106,0.003759857,0.000580031,9.8619E-05,0.000121945,0.000134714,0.000382232
Bacteroidetes,0.006096653,8.5201E-05,2.00963E-05,6.59099E-05,1.6754E-05,5.83529E-05,0.000113553,0.000104275,0,3.2212E-05,2.64145E-05,2.81053E-05
Actinobacteria,0.00015196,0.000205257,9.54572E-05,0.008279296,9.71733E-05,9.0447E-05,9.67301E-05,7.82065E-05,5.63537E-05,4.8318E-05,3.43388E-05,0.000269811
Proteobacteria,0.000246176,0.000135547,7.03369E-05,0.007539077,0.000117278,0.000102118,0.000168226,0.00016293,5.63537E-05,5.98222E-05,4.22632E-05,0.000404716
Actinobacteria,0.000158039,0.000205257,0.000100481,0.008208316,0.000147435,0.000113788,0.000100936,0.000156413,2.81769E-05,2.07077E-05,4.75461E-05,5.90211E-05
Proteobacteria,0.000148921,0.000147165,7.03369E-05,0.008193106,0.00012398,9.62823E-05,0.000113553,0.000130344,5.98758E-05,6.21231E-05,7.39606E-05,5.90211E-05
Proteobacteria,0.003963128,0.000154911,0.000175842,0.00019266,0,0.000110871,0.000218694,0.00028024,0.000570581,0.000105839,5.81119E-05,8.99369E-05
