Phylum,R1,R1,R1,R1,R2,R2,R2,R2,S,S,S,S
Bacteroidetes,1.82353E-05,5.0346E-05,0,2.028E-05,1.00524E-05,8.75294E-06,0.001059825,1.95516E-05,0,0,5.2829E-06,0
Bacteroidetes,0,0,1.50722E-05,2.535E-05,0.000851104,0,4.62622E-05,5.86548E-05,0,0,0,0
Proteobacteria,0.000136764,0.000174275,5.52647E-05,0.00019266,9.38225E-05,6.12706E-05,0.000117758,0.000136861,0,2.53094E-05,4.22632E-05,0
Bacteroidetes,2.12745E-05,0,0,5.06999E-05,3.68588E-05,0,0,4.56204E-05,2.81769E-05,0,0,0.000649232
Proteobacteria,1.5196E-05,1.16183E-05,1.25602E-05,0,2.68064E-05,3.50118E-05,2.94396E-05,3.2586E-05,0.000679767,2.53094E-05,2.3773E-05,2.52948E-05
Proteobacteria,3.03921E-05,0,0,0,0,0.000373459,2.52339E-05,4.56204E-05,0,0.000253094,7.92435E-06,0
Bacteroidetes,0,0,3.26564E-05,0,0.000723773,1.45882E-05,7.14962E-05,3.91032E-05,0,4.60171E-06,1.05658E-05,0
Bacteroidetes,6.68626E-05,3.87277E-05,6.02888E-05,0.00020787,7.37176E-05,4.96E-05,0.000113553,9.12409E-05,8.10084E-05,4.60171E-05,3.69803E-05,8.15053E-05
Firmicutes,9.11763E-06,3.09822E-05,0,3.04199E-05,0.000774035,1.45882E-05,0,0,0,4.60171E-06,0,0
Proteobacteria,0.000133725,0.000143293,5.77768E-05,0.00023829,7.70685E-05,5.83529E-05,9.67301E-05,0.000130344,0,1.38051E-05,0,2.81053E-05
Actinobacteria,3.34313E-05,1.93639E-05,1.50722E-05,0.000922738,3.68588E-05,4.37647E-05,3.78509E-05,0,2.11326E-05,0,0,0
Deinococcus-Thermus,4.86273E-05,1.93639E-05,7.5361E-06,0.000922738,2.01048E-05,2.91765E-05,3.78509E-05,1.30344E-05,0,1.6106E-05,0,8.43158E-06
Actinobacteria,3.64705E-05,3.87277E-05,0,9.63298E-05,2.34556E-05,1.45882E-05,2.10283E-05,0,0,0,0.000269428,0.000227653
Firmicutes,2.73529E-05,2.32366E-05,2.76324E-05,6.59099E-05,3.01572E-05,3.20941E-05,4.62622E-05,2.60688E-05,1.76105E-05,0,0.000390935,1.68632E-05
Actinobacteria,8.81371E-05,8.13282E-05,6.53128E-05,0.0001521,0.000110576,6.71059E-05,8.41131E-05,8.47237E-05,2.81769E-05,2.76103E-05,4.49046E-05,0
Firmicutes,5.47058E-05,6.97099E-05,2.76324E-05,7.60499E-05,4.35604E-05,6.12706E-05,5.04679E-05,3.91032E-05,0,0,0.000298484,0
Proteobacteria,0,0,0,0.000943018,0,1.16706E-05,4.20566E-05,0,5.98758E-05,0,0,5.62106E-06
Patescibacteria,0,1.54911E-05,0,2.535E-05,0,8.75294E-06,0.000828514,1.30344E-05,0,0,0,0
Bacteroidetes,9.11763E-06,3.48549E-05,2.00963E-05,0,0,1.45882E-05,1.2617E-05,0,0,0,0,0.000503085
Actinobacteria,0.000495391,2.32366E-05,0,5.06999E-05,0,2.62588E-05,1.2617E-05,0,0,1.38051E-05,0,0
Proteobacteria,3.95097E-05,6.19643E-05,0,5.06999E-05,2.01048E-05,3.50118E-05,1.68226E-05,3.2586E-05,0,0,0,0.000342884
Bacteroidetes,1.82353E-05,2.71094E-05,7.5361E-06,3.04199E-05,0,1.45882E-05,0,0,0,0,0,0.000401906
Proteobacteria,3.64705E-05,1.16183E-05,1.25602E-05,1.014E-05,2.68064E-05,2.33412E-05,1.68226E-05,1.95516E-05,1.40884E-05,9.20342E-06,0.00030905,0
Gemmatimonadetes,2.12745E-05,1.93639E-05,2.26083E-05,3.04199E-05,2.68064E-05,1.45882E-05,2.10283E-05,3.2586E-05,0.000355733,1.6106E-05,1.32072E-05,8.43158E-06
Proteobacteria,5.16666E-05,0,0,0,4.35604E-05,7.00235E-05,2.52339E-05,0,7.39642E-05,6.90257E-05,7.13191E-05,6.46421E-05
Firmicutes,2.73529E-05,3.48549E-05,2.00963E-05,4.05599E-05,6.36652E-05,0,2.94396E-05,0,0,0,0.000258862,5.62106E-06
Proteobacteria,0,1.93639E-05,2.51203E-05,0,2.68064E-05,2.62588E-05,4.62622E-05,2.60688E-05,2.11326E-05,0.000232386,0,0
Actinobacteria,0,4.64733E-05,0,3.04199E-05,0,2.62588E-05,5.04679E-05,0,0,0,0,0.000311969
Firmicutes,3.03921E-05,0,0,0,0.000224504,1.75059E-05,2.94396E-05,4.56204E-05,0,1.15043E-05,0.000124148,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0.000340527,0,0
Bacteroidetes,2.43137E-05,0,0,0,0,0,0,0.000905892,0,0,0,0
Armatimonadetes,0,0,0,0,0.000489217,0,0,0,0,0,0,0
Proteobacteria,5.16666E-05,8.13282E-05,1.25602E-05,5.06999E-05,0,1.75059E-05,0,0,0,0,0.00021924,0
Proteobacteria,2.43137E-05,0,2.26083E-05,0,4.02096E-05,0,0,0,0,0,0.000261504,0
Actinobacteria,0.000282646,1.54911E-05,0,5.57699E-05,0,0,0,0,0,1.15043E-05,0,8.43158E-06
Firmicutes,0,0,0,0,0,0,0,0.000703858,0,4.60171E-06,0,1.12421E-05
Proteobacteria,0,0,0,0,0,0,0,0,0.000394476,0,0,0
Proteobacteria,2.12745E-05,2.71094E-05,2.26083E-05,0,1.00524E-05,0,2.52339E-05,0,0,0,0.000206033,0
Proteobacteria,0,0,5.02407E-06,0,1.00524E-05,1.16706E-05,0,0,0,0,0.000258862,0
Actinobacteria,0,0,0,0.000506999,0,0,0,0,0,0,0,0
Actinobacteria,1.5196E-05,0,0,0.0001521,0,0,0,0,0,0.00013575,0,0
Firmicutes,2.73529E-05,0,0,6.08399E-05,2.68064E-05,8.75294E-06,0,0,0,0,0,0.000168632
Actinobacteria,2.12745E-05,0,5.02407E-06,0,0,0.000230494,0,0,0,4.60171E-06,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0.000227165,0
Proteobacteria,0,0,0,0,6.7016E-05,0,0,0,0,0.000144954,0,0
Proteobacteria,0,7.74554E-06,0,0,0,0,0,0,0,0,0,0.000219221
Proteobacteria,0,1.16183E-05,5.02407E-06,3.04199E-05,0.000197697,0,2.52339E-05,1.95516E-05,0,0,0,0
Patescibacteria,0,1.54911E-05,0,0.000375179,0,0,0,0,0,0,0,0
Bacteroidetes,3.03921E-05,3.09822E-05,1.50722E-05,3.04199E-05,1.34032E-05,2.62588E-05,6.30848E-05,5.21376E-05,1.05663E-05,4.60171E-06,0,8.43158E-06
Acidobacteria,1.21568E-05,1.16183E-05,1.50722E-05,0,0,1.75059E-05,0,0,0,0,0.000142638,0
Actinobacteria,0.000179313,0,0,7.09799E-05,0,0,0,0,0,0,0,0
Actinobacteria,0,0,0,0,0,0,3.36453E-05,0,0,0,0.000169053,0
Proteobacteria,1.21568E-05,7.74554E-06,1.00481E-05,2.535E-05,0,1.75059E-05,0.000189255,0,0,4.60171E-06,0,0
Firmicutes,6.07842E-06,0,0,0,0,0,0,0.00039755,0,0,0,0
Actinobacteria,0,0,0,0,0,0,0.000260751,0,0,0,0,0
Firmicutes,4.25489E-05,0,0,6.59099E-05,2.01048E-05,3.50118E-05,4.62622E-05,0,0,9.20342E-06,0,0
Cyanobacteria,1.21568E-05,0,0,1.014E-05,0,0,0,0,0,0,1.05658E-05,0.000134905
Proteobacteria,0.000127647,0,0,0,0,1.16706E-05,2.10283E-05,0,0,1.6106E-05,0,0
Firmicutes,0,2.71094E-05,2.76324E-05,0,0,0,0,0,0,9.20342E-06,8.98093E-05,0
Actinobacteria,0,1.16183E-05,0,0,0,0.000134212,0,0,0,0,0,0
Acidobacteria,0,0,0,0,0,0,0,0,0,0.000110441,0,0
Proteobacteria,0,4.26005E-05,0,0,4.69112E-05,3.20941E-05,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,7.82291E-05,0,0
Actinobacteria,0,0,0,0.00016224,0,0,0,0,0,0,0,0
Actinobacteria,0,0,0,0.0001521,0,0,0,0,0,0,0,0
Actinobacteria,2.73529E-05,0,1.25602E-05,2.028E-05,2.34556E-05,0,0,3.2586E-05,0,0,0,0
Actinobacteria,3.95097E-05,2.71094E-05,1.25602E-05,0,1.34032E-05,0,0,0,0,0,0,0
Actinobacteria,4.55881E-05,0,2.00963E-05,0,0,0,0,0,0,0,0,0
Firmicutes,4.55881E-05,0,0,0,0,0,0,0,0,0,1.84901E-05,0
Firmicutes,1.5196E-05,0,0,0,1.34032E-05,0,1.68226E-05,0,7.04421E-06,0,1.58487E-05,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,5.01875E-05,0
FBP,0,0,0,0,0,5.83529E-06,0,0,0,0,0,4.49685E-05
Firmicutes,0,1.54911E-05,1.50722E-05,0,0,8.75294E-06,2.10283E-05,0,0,0,0,0
Proteobacteria,9.11763E-06,0,5.02407E-06,0,0,0,1.2617E-05,0,0,0,0,2.81053E-05
Proteobacteria,3.95097E-05,0,0,0,0,5.83529E-06,0,0,0,0,5.2829E-06,0
Proteobacteria,1.82353E-05,0,0,0,3.3508E-05,0,0,0,0,0,0,0
Firmicutes,0,0,0,0,0,0,0,0,0,0,0,3.93474E-05
Cyanobacteria,0,0,0,0,0,0,0,0,0,0,3.43388E-05,0
Bacteroidetes,0,0,0,2.535E-05,0,0,2.52339E-05,0,0,0,0,0
Chloroflexi,0,0,0,0,0,0,4.62622E-05,0,0,0,0,0
Firmicutes,1.5196E-05,0,1.50722E-05,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,5.57699E-05,0,0,0,0,0,0,0,0
Proteobacteria,3.03921E-05,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,4.56299E-05,0,0,0,0,0,0,0,0
Firmicutes,0,0,0,0,0,0,0,0,0,1.84068E-05,0,0
Firmicutes,0,0,0,0,0,0,0,0,0,0,1.84901E-05,0
Firmicutes,0,7.74554E-06,0,0,1.00524E-05,0,0,0,0,0,0,5.62106E-06
Cyanobacteria,0,0,0,2.535E-05,0,0,0,0,0,0,0,0
Proteobacteria,9.11763E-06,0,0,0,0,5.83529E-06,0,0,0,0,0,0
Actinobacteria,0,0,0,0,0,0,1.68226E-05,0,0,0,0,0
Firmicutes,0,0,0,0,0,0,0,0,0,0,0,1.12421E-05
Bacteroidetes,0,0,0,1.521E-05,0,0,0,0,0,0,0,0
Chloroflexi,0,0,0,1.521E-05,0,0,0,0,0,0,0,0
Patescibacteria,0,0,0,0,0,0,0,0,0,0,0,8.43158E-06
Proteobacteria,9.11763E-06,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,0,0,0,0,0,0,8.41131E-06,0,0,0,0,0
Firmicutes,0,0,0,1.014E-05,0,0,0,0,0,0,0,0
Firmicutes,0,0,0,0,0,0,0,0,0,0,5.2829E-06,0
Firmicutes,0,7.74554E-06,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,5.83529E-06,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,5.2829E-06,0
